x,my,py,err
0.000000000000000000e+00,-2.822875976562500000e-04,2.389132195708126708e-04,-5.212008172270626979e-04
1.000000000000000000e+00,-3.280639648437500000e-04,-1.378544961640453947e-04,-1.902094686797046053e-04
2.000000000000000000e+00,-4.501342773437500000e-04,-1.602654385623853122e-04,-2.898688387813646607e-04
3.000000000000000000e+00,-5.340576171875000000e-04,-3.468376398096072177e-04,-1.872199773778927823e-04
4.000000000000000000e+00,-7.019042968750000000e-04,-4.289679265557512196e-04,-2.729363703192487804e-04
5.000000000000000000e+00,-8.087158203125000000e-04,-3.786497346491855603e-04,-4.300660856633144397e-04
6.000000000000000000e+00,-3.814697265625000000e-04,-3.649363661581756695e-04,-1.653336040432433051e-05
7.000000000000000000e+00,-2.746582031250000000e-04,-4.274534236335538568e-04,1.527952205085538568e-04
8.000000000000000000e+00,-3.433227539062500000e-04,-4.561235714195884146e-04,1.128008175133384146e-04
9.000000000000000000e+00,-4.348754882812500000e-04,-5.249205620589251272e-04,9.004507377767512720e-05
1.000000000000000000e+01,-6.103515625000000000e-04,-6.344528976265575862e-04,2.410133512655758623e-05
1.100000000000000000e+01,-9.307861328125000000e-04,-9.112099525019455451e-04,-1.957618031055445487e-05
1.200000000000000000e+01,-1.419067382812500000e-03,-1.242485627030550299e-03,-1.765817557819497011e-04
1.300000000000000000e+01,-1.632690429687500000e-03,-1.384010175006916048e-03,-2.486802546805839519e-04
1.400000000000000000e+01,-1.853942871093750000e-03,-1.462508704445485835e-03,-3.914341666482641646e-04
1.500000000000000000e+01,-1.861572265625000000e-03,-1.559303289523136533e-03,-3.022689761018634673e-04
1.600000000000000000e+01,-1.754760742187500000e-03,-1.420911918870194956e-03,-3.338488233173050445e-04
1.700000000000000000e+01,-1.579284667968750000e-03,-1.422990040522044983e-03,-1.562946274467050169e-04
1.800000000000000000e+01,-1.174926757812500000e-03,-1.144788822045207611e-03,-3.013793576729238873e-05
1.900000000000000000e+01,-1.029968261718750000e-03,-9.492704391728807841e-04,-8.069782254586921593e-05
2.000000000000000000e+01,-8.773803710937500000e-04,-9.540521149366084546e-04,7.667174384285845457e-05
2.100000000000000000e+01,-8.773803710937500000e-04,-9.379281013373854054e-04,6.054773024363540538e-05
2.200000000000000000e+01,-1.152038574218750000e-03,-1.122981566481665722e-03,-2.905700773708427831e-05
2.300000000000000000e+01,-1.396179199218750000e-03,-1.090551772840429390e-03,-3.056274263783206099e-04
2.400000000000000000e+01,-1.327514648437500000e-03,-1.170171784990545021e-03,-1.573428634469549794e-04
2.500000000000000000e+01,-1.296997070312500000e-03,-1.280858076605490784e-03,-1.613899370700921584e-05
2.600000000000000000e+01,-1.663208007812500000e-03,-1.428231317161561629e-03,-2.349766906509383711e-04
2.700000000000000000e+01,-1.914978027343750000e-03,-1.670922329260854074e-03,-2.440556980828959260e-04
2.800000000000000000e+01,-1.693725585937500000e-03,-1.545828072460295969e-03,-1.478975134772040310e-04
2.900000000000000000e+01,-1.564025878906250000e-03,-1.598329371661024552e-03,3.430349275477455155e-05
3.000000000000000000e+01,-1.426696777343750000e-03,-1.553303240854020341e-03,1.266064635102703406e-04
3.100000000000000000e+01,-1.518249511718750000e-03,-1.518316866858436835e-03,6.735513968683486119e-08
3.200000000000000000e+01,-1.495361328125000000e-03,-1.516768988284766676e-03,2.140766015976667581e-05
3.300000000000000000e+01,-1.403808593750000000e-03,-1.481696913306005487e-03,7.788831955600548744e-05
3.400000000000000000e+01,-1.205444335937500000e-03,-1.324418039462126658e-03,1.189737035246266582e-04
3.500000000000000000e+01,-1.152038574218750000e-03,-1.335654581446821384e-03,1.836160072280713842e-04
3.600000000000000000e+01,-1.502990722656250000e-03,-1.703979802023652783e-03,2.009890793674027828e-04
3.700000000000000000e+01,-1.724243164062500000e-03,-1.810715749451304686e-03,8.647258538880468574e-05
3.800000000000000000e+01,-1.625061035156250000e-03,-1.775843026505621305e-03,1.507819913493713051e-04
3.900000000000000000e+01,-1.663208007812500000e-03,-1.734316103068871432e-03,7.110809525637143240e-05
4.000000000000000000e+01,-1.739501953125000000e-03,-1.784365824418357579e-03,4.486387129335757916e-05
4.100000000000000000e+01,-1.510620117187500000e-03,-1.652920736738232050e-03,1.423006195507320500e-04
4.200000000000000000e+01,-1.220703125000000000e-03,-1.503872243964844051e-03,2.831691189648440510e-04
4.300000000000000000e+01,-1.022338867187500000e-03,-1.361326658460304019e-03,3.389877912728040191e-04
4.400000000000000000e+01,-8.087158203125000000e-04,-1.175169066012081431e-03,3.664532456995814313e-04
