fitted,residual
1.679173834575744075e-05,6.774831639979925864e-04
-1.352703771389464533e-04,1.320006463894645332e-05
-4.100176691585745133e-04,2.854794259607451330e-05
-5.892223920718814485e-05,-2.081065693865618552e-04
9.794987418371378673e-05,-4.454411246496378673e-05
-1.232324110669635918e-06,-1.437261719830803641e-04
-1.588741142066672459e-04,-1.768192451683327541e-04
6.313361495343343789e-05,-2.538684782346834379e-04
-1.652607102577095528e-05,-1.894675813179790447e-04
-2.643394541876042383e-04,-1.857948231561457617e-04
-8.909815857305062518e-05,-1.168954937706993748e-04
-9.836372720041156167e-06,-3.258569866549588167e-04
-1.376944776318442590e-04,-1.903694872119057410e-04
-8.994627031363633851e-05,-1.084179874988636615e-04
-3.256755257254422800e-05,-2.268318614899557720e-04
-9.561729829565170503e-05,-4.765872915480982679e-04
4.471380729586855616e-04,-2.564032096774355616e-04
3.401608096770383565e-04,-2.867550479582883565e-04
2.959787421057724134e-04,-1.052438788245224134e-04
2.928916528126035467e-04,-2.318564965626035467e-04
2.129627581574796661e-04,-3.748668393872966608e-05
-1.307658856628585349e-04,-2.812214190246414922e-04
-2.000448242283720749e-04,-2.424600585841279251e-04
3.903490779060434456e-05,-3.518400835718543717e-04
1.860391470866858609e-04,-1.707803580241858609e-04
2.353720545263506610e-04,-2.353720545263506610e-04
2.232484302135013534e-04,-3.300599536510013263e-04
2.096937065601956862e-04,-3.546522026539457133e-04
-2.811981935437615570e-05,-1.002715330187384430e-05
-1.908255447519707629e-04,-8.383265837302923706e-05
8.714413973148277736e-05,-3.770611319189827774e-04
1.390465722627493234e-04,-3.679284082002493234e-04
1.649611072652296931e-04,-2.488844471089797202e-04
3.128981362307119173e-04,-1.831984291994619173e-04
2.458835192329195899e-04,-1.619601793891695899e-04
1.688602097136263536e-04,-8.493686986987635358e-05
2.688878580350809091e-04,-2.459996744413309091e-04
2.630632971238889271e-04,-2.401751135301389271e-04
1.825166672183529948e-04,-1.062227219058529948e-04
3.405930261606749006e-04,-2.719284753794249006e-04
3.944552969640337031e-04,-2.494968008702837031e-04
2.899482213499356099e-04,-2.899482213499356099e-04
-1.847350006195909390e-04,1.084410553070909390e-04
-2.002769806540675177e-04,6.294787909156751766e-05
-6.359213640364874904e-04,1.323813249739874904e-04
-3.894113439654237323e-04,-1.293874841595762677e-04
-1.293245916232652136e-04,1.598421697482652136e-04
-1.603572555069097884e-04,-1.066715530868402116e-04
-3.076035820049339816e-04,-3.571917190131601843e-05
-1.695425991292802425e-04,-2.271859164957197575e-04
-1.392809861617479194e-04,-2.269299513382520806e-04
