platform,display_name,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,backend,device_name,measurement_scope,include_transfers,timestamp_s,warmup,num_iters,notes
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,1,0.4392519999782962,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0004416850001689454,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,2,0.4387099997984478,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0008826749999570893,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,3,0.4383990003589133,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0013221110002632486,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,4,0.43331799997758935,128,128,180.0,1,cpu,x86_64,compute_only,False,0.00175633300023037,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,5,0.4359159997875395,128,128,180.0,1,cpu,x86_64,compute_only,False,0.002193152000018017,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,6,0.43540800015762215,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0026297090003026824,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,7,0.4396389999783423,128,128,180.0,1,cpu,x86_64,compute_only,False,0.003070327999921574,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,8,0.48149100030059344,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0035526240003491694,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,9,0.43740000000980217,128,128,180.0,1,cpu,x86_64,compute_only,False,0.003990959000020666,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,10,0.4346769997027877,128,128,180.0,1,cpu,x86_64,compute_only,False,0.004426642999987962,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,11,0.4376159999992524,128,128,180.0,1,cpu,x86_64,compute_only,False,0.004865149000124802,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,12,0.5180989996915741,128,128,180.0,1,cpu,x86_64,compute_only,False,0.00538413499998569,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,13,0.43403900008343044,128,128,180.0,1,cpu,x86_64,compute_only,False,0.005818885000280716,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,14,0.45722899994871113,128,128,180.0,1,cpu,x86_64,compute_only,False,0.006276827999954548,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,15,0.43232000007265015,128,128,180.0,1,cpu,x86_64,compute_only,False,0.006709858000249369,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,16,0.4336239999247482,128,128,180.0,1,cpu,x86_64,compute_only,False,0.007144313000026159,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,17,0.4681770001297991,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0076131160003569676,100,1000,
