platform,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,timestamp_s,measurement_method,power_w_before,power_w_after,notes
Jetson Orin NX,run001,0,3.629907,128,128,180,1,1778160988.0498886,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,1,3.681364,128,128,180,1,1778160988.0536177,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,2,3.137576,128,128,180,1,1778160988.056789,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,3,3.191017,128,128,180,1,1778160988.060014,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,4,3.213482,128,128,180,1,1778160988.0632615,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,5,3.205225,128,128,180,1,1778160988.0665007,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,6,3.151272,128,128,180,1,1778160988.0696862,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,7,3.128199,128,128,180,1,1778160988.072845,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,8,3.180393,128,128,180,1,1778160988.0760574,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,9,3.199881,128,128,180,1,1778160988.0792909,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,10,3.158568,128,128,180,1,1778160988.082481,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,11,3.233098,128,128,180,1,1778160988.085747,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,12,3.110791,128,128,180,1,1778160988.0888903,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,13,3.129799,128,128,180,1,1778160988.092053,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,14,3.188489,128,128,180,1,1778160988.0952733,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,15,3.164168,128,128,180,1,1778160988.098471,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,16,3.146504,128,128,180,1,1778160988.1016498,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,17,3.137352,128,128,180,1,1778160988.1048212,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,18,3.195082,128,128,180,1,1778160988.1080482,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,19,3.144456,128,128,180,1,1778160988.1112251,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,20,3.122856,128,128,180,1,1778160988,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,21,3.158153,128,128,180,1,1778160988.1175704,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,22,3.136168,128,128,180,1,1778160988.1207378,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,23,3.123655,128,128,180,1,1778160988.123894,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,24,3.174217,128,128,180,1,1778160988.127099,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,25,3.161448,128,128,180,1,1778160988.130295,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,26,3.154344,128,128,180,1,1778160988.133484,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,27,3.117863,128,128,180,1,1778160988.136632,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,28,3.186857,128,128,180,1,1778160988.1398504,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,29,3.174153,128,128,180,1,1778160988.1430552,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,30,3.23553,128,128,180,1,1778160988.146323,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,31,3.232874,128,128,180,1,1778160988.1495872,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,32,3.144168,128,128,180,1,1778160988.152763,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,33,3.171529,128,128,180,1,1778160988.1559663,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,34,3.184617,128,128,180,1,1778160988.159182,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,35,3.100903,128,128,180,1,1778160988.162315,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,36,3.197289,128,128,180,1,1778160988.1655447,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,37,3.130791,128,128,180,1,1778160988.1687071,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,38,3.139208,128,128,180,1,1778160988.1718764,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,39,3.229098,128,128,180,1,1778160988.1751373,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,40,3.147496,128,128,180,1,1778160988.1783154,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,41,3.191369,128,128,180,1,1778160988.1815379,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,42,3.132264,128,128,180,1,1778160988.1847022,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,43,3.131912,128,128,180,1,1778160988.1878672,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,44,3.142408,128,128,180,1,1778160988.1910431,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,45,3.153256,128,128,180,1,1778160988.194228,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,46,3.194794,128,128,180,1,1778160988.1974545,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,47,3.111272,128,128,180,1,1778160988.2005987,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,48,3.162185,128,128,180,1,1778160988.2037938,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,49,5.890342,128,128,180,1,1778160988.2097175,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,50,3.864761,128,128,180,1,1778160988.2136168,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,51,3.205226,128,128,180,1,1778160988.2168539,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,52,3.301035,128,128,180,1,1778160988.2201881,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,53,3.328204,128,128,180,1,1778160988.223551,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,54,3.745558,128,128,180,1,1778160988.227328,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,55,3.216778,128,128,180,1,1778160988.2305756,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,56,3.437262,128,128,180,1,1778160988.2340467,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,57,3.617555,128,128,180,1,1778160988.2376983,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,58,3.088743,128,128,180,1,1778160988.2408187,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,59,3.150152,128,128,180,1,1778160988.2440014,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,60,3.194345,128,128,180,1,1778160988.2472277,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,61,3.284331,128,128,180,1,1778160988.2505438,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,62,3.780951,128,128,180,1,1778160988.2543566,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,63,3.180425,128,128,180,1,1778160988.257569,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,64,3.107943,128,128,180,1,1778160988.2607079,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,65,8.209884,128,128,180,1,1778160988.2689564,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
